Rayyan_System_ID,Study_ID,Study_Type,Study_Year,Country,State_Region,Location,Site_Name,Latitude,Longitude,Depth_Range_Collection,Depth_Specific_Collection,Species,Urchin_Life_Stage,Development_category,Development_Stage,Urchin_TD_mm,Urchin_biomass_g,Replication_Treatment,Replication_Experimental,Thermal_Treatment,Ambient_Temp,Adjustment_Temp,Adjustment_Period,Adjustment_Period_Unit,Ramp_Rate_Treatment_degC,Ramp_Rate_Treatment_Unit,Acclimation_Temp,Acclimation_Duration,Acclimation_Duration_Unit,Experimental_Duration,Experimental_Duration_Unit,Response_Type,Control_Temp,Treatment_Temp,Response_Value,sd,se,Response_Value_Unit,Response_Value_Type,Contrast,Comments,Time_Of_Year,Temp_se,DOI,Response_Type2,Response_Type_Category,Response_Type_Level,Control_Treatment,Number_Treatments,Response_ID
21,1,Lab manipulation,2011,New Zealand,North Island,Mokohinau Islands,NA,-34.08333333,175.1166667,<= 5,5,Centrostephanus rodgersii,larvae,gamete,NA,NA,NA,4,2,static,14,NA,NA,NA,NA,NA,NA,NA,NA,2,hour,Fertilisation success,14,12,88.91,NA,2.75,percent success,mean,NA,NA,NA,NA,NA,Fertilisation success,Reproductive success,Individual,Treatment,12,1
21,1,Lab manipulation,2011,New Zealand,North Island,Mokohinau Islands,NA,-34.08333333,175.1166667,<= 5,5,Centrostephanus rodgersii,larvae,gamete,NA,NA,NA,4,2,static,14,NA,NA,NA,NA,NA,NA,NA,NA,2,hour,Fertilisation success,14,13.1,94.12,NA,1.3,percent success,mean,NA,NA,NA,NA,NA,Fertilisation success,Reproductive success,Individual,Treatment,12,1
21,1,Lab manipulation,2011,New Zealand,North Island,Mokohinau Islands,NA,-34.08333333,175.1166667,<= 5,5,Centrostephanus rodgersii,larvae,gamete,NA,NA,NA,4,2,static,14,NA,NA,NA,NA,NA,NA,NA,NA,2,hour,Fertilisation success,14,14.3,97.3,NA,2.17,percent success,mean,NA,NA,NA,NA,NA,Fertilisation success,Reproductive success,Individual,Control,12,1
21,1,Lab manipulation,2011,New Zealand,North Island,Mokohinau Islands,NA,-34.08333333,175.1166667,<= 5,5,Centrostephanus rodgersii,larvae,gamete,NA,NA,NA,4,2,static,14,NA,NA,NA,NA,NA,NA,NA,NA,2,hour,Fertilisation success,14,16,92.39,NA,2.89,percent success,mean,NA,NA,NA,NA,NA,Fertilisation success,Reproductive success,Individual,Treatment,12,1
21,1,Lab manipulation,2011,New Zealand,North Island,Mokohinau Islands,NA,-34.08333333,175.1166667,<= 5,5,Centrostephanus rodgersii,larvae,gamete,NA,NA,NA,4,2,static,14,NA,NA,NA,NA,NA,NA,NA,NA,2,hour,Fertilisation success,14,17.2,96.44,NA,1.44,percent success,mean,NA,NA,NA,NA,NA,Fertilisation success,Reproductive success,Individual,Treatment,12,1
21,1,Lab manipulation,2011,New Zealand,North Island,Mokohinau Islands,NA,-34.08333333,175.1166667,<= 5,5,Centrostephanus rodgersii,larvae,gamete,NA,NA,NA,4,2,static,14,NA,NA,NA,NA,NA,NA,NA,NA,2,hour,Fertilisation success,14,18.7,97.59,NA,1.16,percent success,mean,NA,NA,NA,NA,NA,Fertilisation success,Reproductive success,Individual,Treatment,12,1
21,1,Lab manipulation,2011,New Zealand,North Island,Mokohinau Islands,NA,-34.08333333,175.1166667,<= 5,5,Centrostephanus rodgersii,larvae,gamete,NA,NA,NA,4,2,static,14,NA,NA,NA,NA,NA,NA,NA,NA,2,hour,Fertilisation success,14,20.1,96.15,NA,1.15,percent success,mean,NA,NA,NA,NA,NA,Fertilisation success,Reproductive success,Individual,Treatment,12,1
21,1,Lab manipulation,2011,New Zealand,North Island,Mokohinau Islands,NA,-34.08333333,175.1166667,<= 5,5,Centrostephanus rodgersii,larvae,gamete,NA,NA,NA,4,2,static,14,NA,NA,NA,NA,NA,NA,NA,NA,2,hour,Fertilisation success,14,22.1,93.69,NA,1.3,percent success,mean,NA,NA,NA,NA,NA,Fertilisation success,Reproductive success,Individual,Treatment,12,1
21,1,Lab manipulation,2011,New Zealand,North Island,Mokohinau Islands,NA,-34.08333333,175.1166667,<= 5,5,Centrostephanus rodgersii,larvae,gamete,NA,NA,NA,4,2,static,14,NA,NA,NA,NA,NA,NA,NA,NA,2,hour,Fertilisation success,14,23.5,96,NA,2.03,percent success,mean,NA,NA,NA,NA,NA,Fertilisation success,Reproductive success,Individual,Treatment,12,1
21,1,Lab manipulation,2011,New Zealand,North Island,Mokohinau Islands,NA,-34.08333333,175.1166667,<= 5,5,Centrostephanus rodgersii,larvae,gamete,NA,NA,NA,4,2,static,14,NA,NA,NA,NA,NA,NA,NA,NA,2,hour,Fertilisation success,14,25,90.65,NA,1.88,percent success,mean,NA,NA,NA,NA,NA,Fertilisation success,Reproductive success,Individual,Treatment,12,1
